id,module_code,dept_id,positive_feedback,intelligent_decision_id
ADOPT000001,MSDATA,0000,未采纳,INTELLI000001
ADOPT000002,MSDATA,0000,采纳,INTELLI000002
ADOPT000003,MSDATA,0000,采纳,INTELLI000003
ADOPT000004,MSDATA,0000,未采纳,INTELLI000004
ADOPT000005,MSDATA,0000,未采纳,INTELLI000005
ADOPT000006,MSDATA,0000,采纳,INTELLI000006
ADOPT000007,MSDATA,0000,采纳,INTELLI000007
ADOPT000008,MSDATA,0000,未采纳,INTELLI000008
ADOPT000009,MSDATA,0000,采纳,INTELLI000009
ADOPT000010,MSDATA,0000,采纳,INTELLI000010
ADOPT000011,MSDATA,0000,未采纳,INTELLI000011
ADOPT000012,MSDATA,0000,未采纳,INTELLI000012
ADOPT000013,MSDATA,0000,采纳,INTELLI000013
ADOPT000014,MSDATA,0000,采纳,INTELLI000014
ADOPT000015,MSDATA,0000,采纳,INTELLI000015
ADOPT000016,MSDATA,0000,采纳,INTELLI000016
ADOPT000017,MSDATA,0000,未采纳,INTELLI000017
ADOPT000018,MSDATA,0000,采纳,INTELLI000018
ADOPT000019,MSDATA,0000,采纳,INTELLI000019
ADOPT000020,MSDATA,0000,采纳,INTELLI000020
ADOPT000021,MSDATA,0000,采纳,INTELLI000021
ADOPT000022,MSDATA,0000,采纳,INTELLI000022
ADOPT000023,MSDATA,0000,采纳,INTELLI000023
ADOPT000024,MSDATA,0000,未采纳,INTELLI000024
ADOPT000025,MSDATA,0000,采纳,INTELLI000025
ADOPT000026,MSDATA,0000,未采纳,INTELLI000026
ADOPT000027,MSDATA,0000,未采纳,INTELLI000027
ADOPT000028,MSDATA,0000,未采纳,INTELLI000028
ADOPT000029,MSDATA,0000,未采纳,INTELLI000029
ADOPT000030,MSDATA,0000,未采纳,INTELLI000030
ADOPT000031,MSDATA,0000,未采纳,INTELLI000031
ADOPT000032,MSDATA,0000,未采纳,INTELLI000032
ADOPT000033,MSDATA,0000,采纳,INTELLI000033
ADOPT000034,MSDATA,0000,采纳,INTELLI000034
ADOPT000035,MSDATA,0000,未采纳,INTELLI000035
ADOPT000036,MSDATA,0000,未采纳,INTELLI000036
ADOPT000037,MSDATA,0000,采纳,INTELLI000037
ADOPT000038,MSDATA,0000,采纳,INTELLI000038
ADOPT000039,MSDATA,0000,未采纳,INTELLI000039
ADOPT000040,MSDATA,0000,采纳,INTELLI000040
ADOPT000041,MSDATA,0000,采纳,INTELLI000041
ADOPT000042,MSDATA,0000,未采纳,INTELLI000042
ADOPT000043,MSDATA,0000,未采纳,INTELLI000043
ADOPT000044,MSDATA,0000,采纳,INTELLI000044
ADOPT000045,MSDATA,0000,采纳,INTELLI000045
ADOPT000046,MSDATA,0000,未采纳,INTELLI000046
ADOPT000047,MSDATA,0000,未采纳,INTELLI000047
ADOPT000048,MSDATA,0000,未采纳,INTELLI000048
ADOPT000049,MSDATA,0000,未采纳,INTELLI000049
ADOPT000050,MSDATA,0000,未采纳,INTELLI000050
ADOPT000051,MSDATA,0000,采纳,INTELLI000051
ADOPT000052,MSDATA,0000,采纳,INTELLI000052
ADOPT000053,MSDATA,0000,采纳,INTELLI000053
ADOPT000054,MSDATA,0000,采纳,INTELLI000054
ADOPT000055,MSDATA,0000,未采纳,INTELLI000055
ADOPT000056,MSDATA,0000,采纳,INTELLI000056
ADOPT000057,MSDATA,0000,未采纳,INTELLI000057
ADOPT000058,MSDATA,0000,未采纳,INTELLI000058
ADOPT000059,MSDATA,0000,未采纳,INTELLI000059
ADOPT000060,MSDATA,0000,未采纳,INTELLI000060
ADOPT000061,MSDATA,0000,采纳,INTELLI000061
ADOPT000062,MSDATA,0000,采纳,INTELLI000062
ADOPT000063,MSDATA,0000,采纳,INTELLI000063
ADOPT000064,MSDATA,0000,采纳,INTELLI000064
ADOPT000065,MSDATA,0000,采纳,INTELLI000065
ADOPT000066,MSDATA,0000,采纳,INTELLI000066
ADOPT000067,MSDATA,0000,未采纳,INTELLI000067
ADOPT000068,MSDATA,0000,采纳,INTELLI000068
ADOPT000069,MSDATA,0000,采纳,INTELLI000069
ADOPT000070,MSDATA,0000,采纳,INTELLI000070
ADOPT000071,MSDATA,0000,未采纳,INTELLI000071
ADOPT000072,MSDATA,0000,采纳,INTELLI000072
ADOPT000073,MSDATA,0000,未采纳,INTELLI000073
ADOPT000074,MSDATA,0000,采纳,INTELLI000074
ADOPT000075,MSDATA,0000,采纳,INTELLI000075
ADOPT000076,MSDATA,0000,采纳,INTELLI000076
ADOPT000077,MSDATA,0000,未采纳,INTELLI000077
ADOPT000078,MSDATA,0000,未采纳,INTELLI000078
ADOPT000079,MSDATA,0000,采纳,INTELLI000079
ADOPT000080,MSDATA,0000,采纳,INTELLI000080
ADOPT000081,MSDATA,0000,未采纳,INTELLI000081
