id,module_code,dept_id,medical_knowledge_content
KNOW000001,MSDATA,0000,中医认为，穴位按摩能够改善血液循环，促进人体自愈能力。
KNOW000002,MSDATA,0000,西医临床实践表明，抗生素的正确使用可以有效治疗细菌感染。
KNOW000003,MSDATA,0000,胃镜检查是消化系统疾病的重要诊断工具，用于观察胃部病变。
KNOW000004,MSDATA,0000,中药调理对慢性支气管炎患者具有良好的疗效，能够改善咳嗽症状。
KNOW000005,MSDATA,0000,根管治疗是牙髓疾病的一种常见治疗方法，能够保存天然牙齿。
KNOW000006,MSDATA,0000,CT 检查在肿瘤早期筛查中具有重要价值，能够清晰显示病灶位置。
KNOW000007,MSDATA,0000,针灸治疗偏头痛在中医中被广泛应用，具有缓解疼痛的效.果。
KNOW000008,MSDATA,0000,胃溃疡患者在饮食中应避免刺激性食物，以减少胃黏膜损伤。6
KNOW000009,MSDATA,0000,核磁共振成像是诊断神经系统疾病的重要工具，特别适用于脑部检查。
KNOW000010,MSDATA,0000,口腔溃疡反复发作可能与免疫系统功能失调有关，应注重补充维生素。
KNOW000011,MSDATA,0000,高血压患者需要长期监测血压，并遵医嘱服用降压药物。
KNOW000012,MSDATA,0000,中药汤剂对改善失眠症状具有较好的作用，常用于神经衰弱患者。
KNOW000013,MSDATA,0000,心电图是诊断心律失常的基础检查，能够提供心脏功能的关键信息。
KNOW000014,MSDATA,0000,艾灸治疗在中医中常用于改善寒性体质，特别适合腰背疼痛患者。
KNOW000015,MSDATA,0000,现代医学证明，合理的运动有助于预防骨质疏松和提高骨密度。
KNOW000016,MSDATA,0000,牙周炎治疗需要结合洁治和药物控制，以改善牙龈健康。
KNOW000017,MSDATA,0000,肝功能检查是评估肝脏健康状况的重要指标，适用于多种肝病筛查。
KNOW000018,MSDATA,0000,推拿治疗颈椎病在中医中被广泛应用，具有缓解肌肉紧张的效果。
KNOW000019,MSDATA,0000,心血管疾病患者应控制饮食中的盐分摄入量，以降低心脏负担。
KNOW000020,MSDATA,0000,消化道内窥镜检查在诊断胃癌早期病变中具有重要作用。
KNOW000021,MSDATA,0000,胃食管反流病患者可以通过调整生活方式来减轻症状。
KNOW000022,MSDATA,0000,中药外敷在治疗跌打损伤方面具有显著疗效。
KNOW000023,MSDATA,0000,产后康复训练可以帮助新妈妈恢复盆底肌功能。
KNOW000024,MSDATA,0000,糖尿病足的护理需避免足部受伤，并保持清洁干燥。
KNOW000025,MSDATA,0000,人工关节置换术是治疗严重关节炎的一种有效方法。
KNOW000026,MSDATA,0000,中医拔罐疗法被认为可以疏通经络，缓解肌肉酸痛。
KNOW000027,MSDATA,0000,牙齿矫正治疗需要长期坚持，以达到最佳效果。
KNOW000028,MSDATA,0000,肺功能检查是评估慢性阻塞性肺疾病的常用手段。
KNOW000029,MSDATA,0000,中药熏蒸对治疗关节炎具有一定的辅助作用。
KNOW000030,MSDATA,0000,视网膜脱离需要尽早手术治疗，以防止视力永久丧失。
KNOW000031,MSDATA,0000,孕期营养摄入需要平衡，避免体重增长过快。
KNOW000032,MSDATA,0000,针灸治疗过敏性鼻炎具有缓解鼻塞和打喷嚏的效果。
KNOW000033,MSDATA,0000,肾结石患者应增加饮水量，减少草酸盐摄入。
KNOW000034,MSDATA,0000,乳腺癌早期筛查建议定期进行乳腺超声检查。
KNOW000035,MSDATA,0000,脑卒中康复治疗包括物理治疗和语言训练。
KNOW000036,MSDATA,0000,脊柱侧弯的矫正需要根据病情选择支具或手术。
KNOW000037,MSDATA,0000,慢性肾病患者应注意低蛋白饮食，以减轻肾脏负担。
KNOW000038,MSDATA,0000,中药足浴对改善睡眠和缓解疲劳具有一定作用。
KNOW000039,MSDATA,0000,耳鸣的治疗可以结合药物和心理干预。
KNOW000040,MSDATA,0000,骨折愈合期间需要补充足够的钙质和维生素D。
KNOW000041,MSDATA,0000,老年人应定期进行骨密度检测，预防骨质疏松。
KNOW000042,MSDATA,0000,心脏起搏器植入术适用于严重心律失常患者。
KNOW000043,MSDATA,0000,慢性胃炎患者应避免过冷过热食物刺激胃黏膜。
